,Test points,name,Decision tree points,Random forest points,XGBoost points,Polynomial points
882,6.86,Rick Karsdorp,7.008888888888889,6.925600000000007,6.927334,6.993238229794548
883,7.15,Daniele De Rossi,7.138260869565219,7.008699999999999,7.093412,7.271379463933646
884,6.01,Kostas Manolas,6.203333333333334,6.079300000000001,6.0378914,5.976396289545973
885,6.71,Stephan El Shaarawy,6.875714285714286,6.937400000000001,6.876185,6.64613036856735
886,6.42,Alessandro Florenzi,6.781315789473686,6.528799999999999,6.3633757,6.700843278012554
887,6.32,Juan Jesus,6.609148936170212,6.537600000000003,6.287584,6.4073822213136475
888,6.65,Aleksandar Kolarov,6.733636363636363,6.623900000000001,6.6595163,6.747413216797733
889,7.41,Federico Fazio,7.131463414634148,7.0432999999999995,7.065793,7.307133757158242
890,6.86,Cengiz Ünder,7.247066666666666,7.096700000000002,7.239432,6.705168472830374
891,6.79,Davide Santon,6.787166666666666,6.8471,6.7295723,6.742276534649703
892,7.1,Edin Dzeko,7.138260869565219,7.207199999999997,7.19224,7.0654420037911025
893,7.09,Kevin Strootman,7.229268292682928,7.1222,7.0607357,6.999307951310404
894,6.75,Robin Olsen,6.861333333333332,6.753800000000004,6.7243004,6.751143056226874
895,6.89,Ante Coric,6.609148936170212,6.7704,6.6422524,7.057886966794412
896,7.02,Justin Kluivert,6.860833333333333,6.913400000000004,6.988786,6.9251473152288785
897,8.48,Antonio Mirante,8.048181818181815,8.5351,8.521309,8.477062481245685
898,7.07,Iván Marcano,6.991470588235295,6.8715,6.9444904,7.059393640682523
899,6.65,Lorenzo Pellegrini,6.1739622641509415,6.287200000000002,6.3426323,6.595716458596263
900,7.63,Javier Pastore,7.1925,7.302700000000002,7.4120474,7.60580754007559
901,6.59,Patrik Schick,6.692588235294114,6.600199999999997,6.6664577,6.744873460256101
902,6.48,Bryan Cristante,6.464285714285714,6.487100000000003,6.5965075,6.414649495051158
903,6.52,Chris Smalling,6.845909090909092,6.752900000000003,6.6673813,6.495605727700151
904,6.57,Bruno Peres,6.678750000000001,6.637400000000003,6.661252,6.3722473560149755
905,6.63,Aleksandar Kolarov,6.614069767441865,6.754500000000002,6.848363,6.5152892234129745
906,6.27,Nikola Kalinic,6.433763440860214,6.540299999999999,6.4849687,6.1677189616123265
907,8.0,Federico Fazio,7.645384615384617,8.168899999999995,8.331116,7.999714144641862
908,6.54,Amadou Diawara,6.678750000000001,6.7164,6.8092766,6.684670348881851
909,7.03,Edin Dzeko,6.845909090909092,6.730299999999996,6.720789,7.085777670136781
910,6.61,Leonardo Spinazzola,6.1739622641509415,6.304300000000004,6.3619347,6.6185138457008135
911,7.34,Henrikh Mkhitaryan,7.138260869565219,7.171699999999996,7.1316657,6.783849481472894
912,6.63,Bryan Cristante,6.798000000000001,6.704299999999996,6.7887893,6.679224683690955
913,6.27,Jordan Veretout,6.782916666666668,6.705200000000002,6.668756,6.25035463832448
914,7.14,Pau López,6.823809523809524,6.964599999999997,6.96521,6.907319325030066
915,6.77,Daniel Fuzato,6.995151515151516,6.854499999999999,6.7211704,6.768564830575561
916,6.54,Davide Zappacosta,6.581626016260165,6.570900000000003,6.6630726,6.713722386759412
917,6.76,Antonio Mirante,6.676818181818181,6.7856,6.7415032,6.670987875062631
918,6.87,Cengiz Ünder,6.614069767441865,6.633399999999999,6.7630477,6.983743251728422
919,6.45,Riccardo Calafiori,6.581626016260165,6.562899999999994,6.4789658,6.460595810678065
920,6.77,Alessandro Florenzi,6.781315789473686,6.727199999999999,6.6270094,6.579001691773341
